total cost: 344855
1 2 0
1 2 553
1 2 288
1 2 767
1 2 0
1 2 0
1 2 307
1 2 793
1 2 0
1 2 0
1 2 141
1 2 0
2 2 0
2 2 220
2 2 802
2 2 577
2 2 254
2 2 749
2 2 0
2 2 0
2 2 180
2 2 257
2 2 932
2 2 0
3 1 0
3 1 616
3 1 161
3 1 652
3 1 0
3 1 0
3 1 0
4 1 0
4 1 954
4 1 654
4 1 520
4 1 0
5 2 0
5 2 463
5 2 539
5 2 459
5 2 693
5 2 454
5 2 0
5 2 0
5 2 790
5 2 0
5 2 0
5 2 0
6 1 0
6 1 408
6 1 801
6 1 754
6 1 593
6 1 475
6 1 510
6 1 356
6 1 0
7 2 0
7 2 645
7 2 865
7 2 189
7 2 442
7 2 92
7 2 710
7 2 717
7 2 0
7 2 0
7 2 0
8 2 0
8 2 605
8 2 974
8 2 401
8 2 229
8 2 0
9 1 0
9 1 57
9 1 843
9 1 170
9 1 689
9 1 525
9 1 476
9 1 0
10 1 0
10 1 281
10 1 423
10 1 532
10 1 544
10 1 798
10 1 380
10 1 0
11 1 0
11 1 856
11 1 4
11 1 501
11 1 250
11 1 911
11 1 468
11 1 700
11 1 0
11 1 0
11 1 230
11 1 0
12 1 0
12 1 354
12 1 0
13 1 0
13 1 319
13 1 716
13 1 0
14 2 0
14 2 124
14 2 919
14 2 799
14 2 148
14 2 0
15 1 0
15 1 164
15 1 391
15 1 440
15 1 216
15 1 650
15 1 0
16 1 0
16 1 37
16 1 0
17 1 0
17 1 0
18 2 0
18 2 154
18 2 0
18 2 0
18 2 612
18 2 535
18 2 8
18 2 0
19 1 0
19 1 462
19 1 813
19 1 478
19 1 0
19 1 0
19 1 283
19 1 590
19 1 269
19 1 0
20 1 0
20 1 763
20 1 831
20 1 602
20 1 284
20 1 759
20 1 0
20 1 0
20 1 591
20 1 504
20 1 0
21 2 0
21 2 947
21 2 400
21 2 682
21 2 826
21 2 641
21 2 171
21 2 742
21 2 0
21 2 0
21 2 0
22 1 0
22 1 714
22 1 248
22 1 0
23 1 0
23 1 841
23 1 543
23 1 101
23 1 783
23 1 470
23 1 217
23 1 897
23 1 345
23 1 0
23 1 0
23 1 0
24 2 0
24 2 975
24 2 570
24 2 810
24 2 276
24 2 0
24 2 0
24 2 0
25 1 0
25 1 565
25 1 871
25 1 850
25 1 58
25 1 0
25 1 0
25 1 304
25 1 205
25 1 114
25 1 477
25 1 0
26 2 0
26 2 428
26 2 820
26 2 54
26 2 732
26 2 600
26 2 0
27 1 0
27 1 489
27 1 741
27 1 107
27 1 0
28 1 0
28 1 899
28 1 237
28 1 541
28 1 158
28 1 338
28 1 0
28 1 0
28 1 561
28 1 0
29 2 0
29 2 291
29 2 7
29 2 437
29 2 992
29 2 923
29 2 436
29 2 0
29 2 0
29 2 0
30 2 0
30 2 846
30 2 473
30 2 293
30 2 0
31 1 0
31 1 866
31 1 128
31 1 9
31 1 721
31 1 967
31 1 678
31 1 508
31 1 0
32 1 0
32 1 264
32 1 910
32 1 524
32 1 63
32 1 807
32 1 0
33 2 0
33 2 816
33 2 863
33 2 868
33 2 609
33 2 349
33 2 0
33 2 0
33 2 352
33 2 0
34 1 0
34 1 939
34 1 36
34 1 204
34 1 563
34 1 964
34 1 940
34 1 314
34 1 0
34 1 0
34 1 0
35 1 0
35 1 14
35 1 580
35 1 232
35 1 538
35 1 495
35 1 397
35 1 212
35 1 512
35 1 0
36 2 0
36 2 389
36 2 666
36 2 446
36 2 949
36 2 692
36 2 852
36 2 0
37 1 0
37 1 113
37 1 529
37 1 738
37 1 907
37 1 0
38 2 0
38 2 855
38 2 808
38 2 676
38 2 969
38 2 803
38 2 66
38 2 516
38 2 0
39 2 0
39 2 279
39 2 99
39 2 785
39 2 472
39 2 513
39 2 0
39 2 0
39 2 0
40 1 0
40 1 17
40 1 925
40 1 418
40 1 902
40 1 84
40 1 885
40 1 323
40 1 178
40 1 0
41 2 0
41 2 441
41 2 207
41 2 168
41 2 71
41 2 661
41 2 44
41 2 383
41 2 0
41 2 0
41 2 0
42 2 0
42 2 606
42 2 955
42 2 542
42 2 707
42 2 246
42 2 40
42 2 360
42 2 990
42 2 223
42 2 844
42 2 0
43 2 0
43 2 106
43 2 815
43 2 200
43 2 0
44 1 0
44 1 335
44 1 0
45 2 0
45 2 153
45 2 394
45 2 453
45 2 88
45 2 578
45 2 0
45 2 0
45 2 550
45 2 784
45 2 125
45 2 0
46 1 0
46 1 922
46 1 45
46 1 809
46 1 814
46 1 430
46 1 977
46 1 396
46 1 438
46 1 481
46 1 0
46 1 0
46 1 0
46 1 0
47 1 0
47 1 715
47 1 511
47 1 425
47 1 776
47 1 668
47 1 0
48 2 0
48 2 603
48 2 796
48 2 644
48 2 608
48 2 447
48 2 545
48 2 0
48 2 0
48 2 0
49 1 0
49 1 531
49 1 806
49 1 880
49 1 259
49 1 0
49 1 0
49 1 0
50 2 0
50 2 133
50 2 664
50 2 752
50 2 0
50 2 0
50 2 0
51 1 0
51 1 64
51 1 945
51 1 791
51 1 191
51 1 0
52 1 0
52 1 837
52 1 909
52 1 0
53 2 0
53 2 677
53 2 41
53 2 136
53 2 918
53 2 0
54 2 0
54 2 163
54 2 906
54 2 679
54 2 0
55 1 0
55 1 456
55 1 102
55 1 351
55 1 0
55 1 0
55 1 255
55 1 980
55 1 74
55 1 724
55 1 0
56 2 0
56 2 921
56 2 876
56 2 753
56 2 0
57 1 0
57 1 336
57 1 369
57 1 854
57 1 0
57 1 0
57 1 130
57 1 576
57 1 0
58 1 0
58 1 817
58 1 157
58 1 199
58 1 324
58 1 0
58 1 0
58 1 95
58 1 0
59 2 0
59 2 518
59 2 497
59 2 574
59 2 419
59 2 976
59 2 669
59 2 0
59 2 0
59 2 86
59 2 0
60 2 0
60 2 266
60 2 562
60 2 275
60 2 310
60 2 748
60 2 166
60 2 27
60 2 0
60 2 0
60 2 0
61 2 0
61 2 611
61 2 647
61 2 455
61 2 0
61 2 0
61 2 0
62 2 0
62 2 435
62 2 686
62 2 160
62 2 183
62 2 835
62 2 490
62 2 471
62 2 0
63 2 0
63 2 93
63 2 417
63 2 181
63 2 0
64 2 0
64 2 94
64 2 398
64 2 208
64 2 0
65 2 0
65 2 399
65 2 680
65 2 873
65 2 581
65 2 936
65 2 630
65 2 0
66 2 0
66 2 648
66 2 290
66 2 151
66 2 970
66 2 734
66 2 480
66 2 0
66 2 0
66 2 0
67 1 0
67 1 292
67 1 38
67 1 0
67 1 0
67 1 0
68 2 0
68 2 699
68 2 646
68 2 392
68 2 30
68 2 628
68 2 937
68 2 289
68 2 135
68 2 0
68 2 0
68 2 0
69 1 0
69 1 340
69 1 781
69 1 188
69 1 709
69 1 757
69 1 0
69 1 0
69 1 0
70 2 0
70 2 989
70 2 751
70 2 673
70 2 485
70 2 410
70 2 0
70 2 0
70 2 47
70 2 604
70 2 0
71 2 0
71 2 996
71 2 870
71 2 797
71 2 81
71 2 272
71 2 0
71 2 0
71 2 568
71 2 675
71 2 309
71 2 0
72 1 0
72 1 943
72 1 18
72 1 887
72 1 0
72 1 0
72 1 43
72 1 694
72 1 0
73 1 0
73 1 233
73 1 134
73 1 175
73 1 420
73 1 376
73 1 601
73 1 140
73 1 515
73 1 1057
73 1 0
73 1 1057
73 1 0
74 2 0
74 2 321
74 2 861
74 2 393
74 2 457
74 2 965
74 2 971
74 2 28
74 2 0
75 1 0
75 1 186
75 1 735
75 1 172
75 1 761
75 1 595
75 1 758
75 1 1082
75 1 0
75 1 1082
75 1 0
76 2 0
76 2 756
76 2 663
76 2 79
76 2 586
76 2 557
76 2 494
76 2 287
76 2 0
76 2 0
76 2 0
77 2 0
77 2 150
77 2 944
77 2 0
77 2 0
77 2 11
77 2 0
78 2 0
78 2 794
78 2 874
78 2 828
78 2 0
78 2 0
78 2 33
78 2 0
79 2 0
79 2 328
79 2 771
79 2 492
79 2 413
79 2 0
79 2 0
79 2 718
79 2 0
79 2 0
79 2 0
80 2 0
80 2 411
80 2 426
80 2 0
80 2 0
80 2 960
80 2 24
80 2 119
